Название поля;Описание;;;
Water_(g);Water (g/100 g) ;;;
Protein_(g);Protein (g/100 g) ;;;
Lipid_Tot_(g);Total lipid (fat)(g/100 g);;;
Ash_(g);Ash (g/100 g) ;;;
Carbohydrt_(g);Carbohydrate by difference (g/100 g);;;
Fiber_TD_(g);Total dietary fiber (g/100 g);;;
Sugar_Tot_(g);Total sugars (g/100 g);;;
Calcium_(mg);Calcium (mg/100 g);;;
Iron_(mg);Iron (mg/100 g);;;
Magnesium_(mg);Magnesium (mg/100 g) ;;;
Phosphorus_(mg);Phosphorus (mg/100 g);;;
Potassium_(mg);Potassium (mg/100 g);;;
Sodium_(mg);Sodium (mg/100 g);;;
Zinc_(mg);Zinc (mg/100 g);;;
Copper_mg);Copper (mg/100 g);;;
Manganese_(mg);Manganese (mg/100 g);;;
Selenium_(µg);Selenium (Вµg/100 g);;;
Vit_C_(mg);Vitamin C (mg/100 g);;;
Thiamin_(mg);Thiamin (mg/100 g);;;
Riboflavin_(mg);Riboflavin (mg/100 g) ;;;
Niacin_(mg);Niacin (mg/100 g) ;;;
Panto_Acid_mg);Pantothenic acid (mg/100 g);;;
Vit_B6_(mg);Vitamin B6 (mg/100 g);;;
Folate_Tot_(µg);Folate, total (μg/100 g) ;;;
Folic_Acid_(µg);Folic acid (μg/100 g) ;;;
Food_Folate_(µg);Food folate (μg/100 g) ;;;
Folate_DFE_(µg);Folate (μg dietary folate equivalents/100 g) ;;;
Choline_Tot_ (mg);Choline, total (mg/100 g) ;;;
Vit_B12_(µg);Vitamin B12 (μg/100 g) ;;;
Vit_A_IU;Vitamin A (IU/100 g) ;;;
Vit_A_RAE;Vitamin A (μg retinol activity equivalents/100g) ;;;
Retinol_(µg);Retinol (μg/100 g) ;;;
Alpha_Carot_(µg);Alpha-carotene (μg/100 g) ;;;
Beta_Carot_(µg);Beta-carotene (μg/100 g) ;;;
Beta_Crypt_(µg);Beta-cryptoxanthin (μg/100 g) ;;;
Lycopene_(µg);Lycopene (μg/100 g) ;;;
Lut+Zea_ (µg);Lutein+zeazanthin (μg/100 g) ;;;
Vit_E_(mg);Vitamin E (alpha-tocopherol) (mg/100 g) ;;;
Vit_D_µg;Vitamin D (μg/100 g) ;;;
Vit_D_IU;Vitamin D (IU/100 g) ;;;
Vit_K_(µg);Vitamin K (phylloquinone) (μg/100 g) ;;;
FA_Sat_(g);Saturated fatty acid (g/100 g) ;;;
FA_Mono_(g);Monounsaturated fatty acids (g/100 g) ;;;
FA_Poly_(g);Polyunsaturated fatty acids (g/100 g) ;;;
Cholestrl_(mg);Cholesterol (mg/100 g) ;;;
GmWt_1;First household weight for this item from the ;;;
GmWt_Desc1;Description of household weight number 1. ;;;
GmWt_2;Second household weight for this item from the Weight file.;;;
GmWt_Desc2;Description of household weight number 2. ;;;
Refuse_Pct;Percentage of refuse.;;;